2025-09-24 13:54:19,292 INFO naut_runner start (profile=prodlite, window=None)
2025-09-24 14:04:12,063 INFO [BUY] 7203 ts=2025-09-24T14:04:11.756 uptick=0.75 imb=0.06 spr=5.0 vol=2000 | base=0.642 adj=0.642 bonus=0.000 thr=0.60
2025-09-24 14:05:22,362 INFO [BUY] 7203 ts=2025-09-24T14:05:21.394 uptick=0.75 imb=0.06 spr=5.0 vol=2500 | base=0.663 adj=0.663 bonus=0.000 thr=0.60
2025-09-24 14:06:00,006 INFO [BUY] 7203 ts=2025-09-24T14:05:59.193 uptick=0.75 imb=0.06 spr=5.0 vol=2000 | base=0.642 adj=0.642 bonus=0.000 thr=0.60
2025-09-24 14:07:07,675 INFO [BUY] 7203 ts=2025-09-24T14:07:06.999 uptick=0.75 imb=0.06 spr=5.0 vol=1800 | base=0.633 adj=0.633 bonus=0.000 thr=0.60
2025-09-24 14:08:02,325 INFO [BUY] 7203 ts=2025-09-24T14:08:01.569 uptick=1.00 imb=0.06 spr=5.0 vol=1400 | base=0.817 adj=0.817 bonus=0.000 thr=0.60
2025-09-24 14:08:13,685 INFO [BUY] 7203 ts=2025-09-24T14:08:13.589 uptick=0.75 imb=0.06 spr=5.0 vol=1900 | base=0.638 adj=0.638 bonus=0.000 thr=0.60
2025-09-24 14:08:25,898 INFO [BUY] 7203 ts=2025-09-24T14:08:25.590 uptick=0.80 imb=0.06 spr=5.0 vol=2200 | base=0.690 adj=0.690 bonus=0.000 thr=0.60
2025-09-24 14:08:35,917 INFO [BUY] 7203 ts=2025-09-24T14:08:35.156 uptick=1.00 imb=0.06 spr=5.0 vol=2000 | base=0.842 adj=0.842 bonus=0.000 thr=0.60
2025-09-24 14:08:47,915 INFO [BUY] 7203 ts=2025-09-24T14:08:47.775 uptick=0.80 imb=0.06 spr=5.0 vol=1500 | base=0.661 adj=0.661 bonus=0.000 thr=0.60
2025-09-24 14:09:14,930 INFO [BUY] 7203 ts=2025-09-24T14:09:14.795 uptick=0.80 imb=0.06 spr=5.0 vol=1600 | base=0.665 adj=0.665 bonus=0.000 thr=0.60
2025-09-24 14:09:59,471 INFO [BUY] 7203 ts=2025-09-24T14:09:59.184 uptick=0.75 imb=0.06 spr=5.0 vol=2000 | base=0.642 adj=0.642 bonus=0.000 thr=0.60
2025-09-24 14:10:05,478 INFO [BUY] 7203 ts=2025-09-24T14:10:05.148 uptick=0.80 imb=0.06 spr=5.0 vol=1900 | base=0.678 adj=0.678 bonus=0.000 thr=0.60
2025-09-24 14:10:11,425 INFO [BUY] 7203 ts=2025-09-24T14:10:11.163 uptick=0.80 imb=0.06 spr=5.0 vol=2600 | base=0.707 adj=0.707 bonus=0.000 thr=0.60
2025-09-24 14:10:23,456 INFO [BUY] 7203 ts=2025-09-24T14:10:22.592 uptick=1.00 imb=0.06 spr=5.0 vol=1200 | base=0.808 adj=0.808 bonus=0.000 thr=0.60
