code,score_long,score_short,close,next_return
2726,0.06556829364816996,-0.06556829364816996,5450.0,-0.00917431192660545
285A,-0.06905007234770176,0.06905007234770176,2578.0,-0.00892164468580292
3064,-0.023049369004359603,0.023049369004359603,2683.5,0.0011179429849077493
3382,-0.03633241176252072,0.03633241176252072,2021.5,-0.005936186000494725
3436,-0.03503511112604933,0.03503511112604933,1213.0,-0.01154163231657046
3563,0.11552153129778137,-0.11552153129778137,8546.0,-0.0190732506435759
3696,-0.13799960747529816,0.13799960747529816,2283.0,-0.0030661410424879243
3697,-0.08518194746919479,0.08518194746919479,1622.0,-0.011713933415536393
3778,-0.1462367734947366,0.1462367734947366,3055.0,0.003273322422258529
4063,0.02104392471683758,-0.02104392471683758,4525.0,0.007292817679557917
4385,-0.0360720120111821,0.0360720120111821,2170.0,-0.0027649769585254003
4587,-0.026371475055953185,0.026371475055953185,1554.0,0.001608751608751513
4666,-0.0770338871303595,0.0770338871303595,2038.0,-0.015701668302257166
4676,-0.03689853588055055,0.03689853588055055,3344.0,-0.015849282296650724
5631,-0.012134750112350422,0.012134750112350422,9622.0,-0.016316774059447092
5801,-0.027267223936046685,0.027267223936046685,8652.0,-0.050970873786407744
5803,-0.042363616679063104,0.042363616679063104,12000.0,-0.007916666666666683
6098,0.04833977604641031,-0.04833977604641031,9238.0,-0.04903658800606192
6315,-0.05802282195240345,0.05802282195240345,1790.0,-0.012849162011173143
6323,0.048538209901825946,-0.048538209901825946,1919.5,-0.017973430580880412
6432,0.003213450652227401,-0.003213450652227401,5500.0,-0.012727272727272698
6501,-0.04275077529325812,0.04275077529325812,4311.0,-0.0259800510322431
6525,-0.036973959616215746,0.036973959616215746,3235.0,-0.02782071097372485
6526,0.027807702771963226,-0.027807702771963226,3217.0,-0.08392912651538698
6645,-0.02655409805417565,0.02655409805417565,3907.0,-0.012797542871768597
6723,0.1844162508306721,-0.1844162508306721,1880.0,-0.0292553191489362
6758,-0.05908120615152426,0.05908120615152426,4130.0,-0.014527845036319653
6814,-0.07670355599699508,0.07670355599699508,4700.0,0.014893617021276562
6871,0.3093834481033356,-0.3093834481033356,4690.0,-0.05117270788912576
6902,-0.02949603489029473,0.02949603489029473,2138.0,-0.025023386342375997
6954,0.06559434772580375,-0.06559434772580375,4561.0,-0.01118175838631874
7003,-0.054614632683735315,0.054614632683735315,3745.0,-0.002670226969292422
7011,0.10938603956840413,-0.10938603956840413,4110.0,-0.05693430656934306
7203,-0.05917818638023753,0.05917818638023753,2875.0,-0.024347826086956514
7267,-0.06560047704966747,0.06560047704966747,1644.0,-0.012469586374695862
7453,0.02312549651026977,-0.02312549651026977,7410.0,-0.03508771929824561
8058,-0.057079323242471273,0.057079323242471273,3179.0,-0.02170493865995593
8136,0.22159981481689536,-0.22159981481689536,7826.0,0.020444671607462217
8267,0.005904727340072913,-0.005904727340072913,5529.0,-0.020075963103635353
8306,-0.042839801954974374,0.042839801954974374,2224.0,0.006969424460431695
8316,-0.03008509502990807,0.03008509502990807,4004.0,0.01773226773226777
8411,-0.02828253026143956,0.02828253026143956,4706.0,0.006799830004249996
8473,-0.029388936793516948,0.029388936793516948,6547.0,0.026271574767068984
8698,-0.1735518629424182,0.1735518629424182,738.0,0.020325203252032464
8766,0.0064656297779217605,-0.0064656297779217605,6512.0,-0.01259213759213762
9501,0.11678327061965522,-0.11678327061965522,716.3,0.010610079575596787
