code,score_long,score_short,close,next_return
2726,-0.00031803689263479925,0.00031803689263479925,5400.0,-0.0018518518518518823
285A,-0.15759571927903623,0.15759571927903623,2555.0,0.001956947162426559
3064,-0.00047759875817562913,0.00047759875817562913,2686.5,0.018239344872510665
3382,-0.10261884836105714,0.10261884836105714,2009.5,-0.0019905449116696117
3436,-0.13565127289599083,0.13565127289599083,1199.0,0.0016680567139282232
3563,-0.09686451974755364,0.09686451974755364,8383.0,0.00620302994154831
3696,-0.1725833498508529,0.1725833498508529,2276.0,-0.025483304042179244
3697,-0.09518190145577023,0.09518190145577023,1603.0,0.018714909544603975
3778,-0.13540692365765417,0.13540692365765417,3065.0,-0.01794453507340943
4063,0.19418750310534433,-0.19418750310534433,4558.0,0.015357612988152747
4385,-0.09914323866264527,0.09914323866264527,2164.0,0.01663585951940849
4587,-0.024989522438077866,0.024989522438077866,1556.5,0.046900096370060984
4666,-0.13471435418741093,0.13471435418741093,2006.0,-0.002492522432701927
4676,-0.03508261050325204,0.03508261050325204,3291.0,0.0024308720753569713
5631,-0.05199621883877999,0.05199621883877999,9465.0,0.017749603803486558
5801,-0.13667884394515462,0.13667884394515462,8211.0,0.06564364876385342
5803,-0.11250724194660137,0.11250724194660137,11905.0,0.03107937841243169
6098,-0.08810259131332311,0.08810259131332311,8785.0,0.019464997154240216
6315,-0.1840809538911033,0.1840809538911033,1767.0,-0.012450481041312966
6323,-0.07767262279399703,0.07767262279399703,1885.0,0.017771883289124712
6432,-0.10590964863357501,0.10590964863357501,5430.0,0.007366482504604033
6501,-0.044303103733110596,0.044303103733110596,4199.0,0.017861395570373917
6525,-0.14131390118958911,0.14131390118958911,3145.0,-0.025119236883942797
6526,-0.07501647851599445,0.07501647851599445,2947.0,0.0074652188666439745
6645,-0.12305589325540488,0.12305589325540488,3857.0,-0.002333419756287314
6723,-0.1393361528424621,0.1393361528424621,1825.0,-0.002739726027397249
6758,-0.1258305606841407,0.1258305606841407,4070.0,0.05454545454545445
6814,-0.09933620289792378,0.09933620289792378,4770.0,0.04612159329140453
6871,0.048084058040455846,-0.048084058040455846,4450.0,-0.013483146067415741
6902,-0.04772976129100623,0.04772976129100623,2084.5,0.008875029983209437
6954,-0.055548030016391824,0.055548030016391824,4510.0,0.019512195121951237
7003,-0.04722136605403679,0.04722136605403679,3735.0,0.04016064257028118
7011,0.0395597429726218,-0.0395597429726218,3876.0,0.00877192982456143
7203,-0.16432443209646824,0.16432443209646824,2805.0,0.01746880570409992
7267,-0.12830636872675283,0.12830636872675283,1623.5,0.008623344625808382
7453,-0.06051618365849986,0.06051618365849986,7150.0,0.006993006993007089
8058,-0.06067627604917957,0.06067627604917957,3110.0,0.018327974276527437
8136,0.2003847064109128,-0.2003847064109128,7986.0,0.020410718757826185
8267,0.008689549950090247,-0.008689549950090247,5418.0,0.0051679586563306845
8306,-0.0328345323939657,0.0328345323939657,2239.5,0.06005804867157849
8316,0.1987134650674699,-0.1987134650674699,4075.0,0.0466257668711656
8411,-0.07743216082547094,0.07743216082547094,4738.0,0.046855213170113874
8473,0.20515441489792555,-0.20515441489792555,6719.0,-0.002381306742074707
8698,-0.0167948927811426,0.0167948927811426,753.0,0.0026560424966799445
8766,-0.09918832331849324,0.09918832331849324,6430.0,0.03297045101088636
9501,0.17469676869845863,-0.17469676869845863,723.9,0.022240640972509995
