code,prev_score_long,prev_score_short,next_return
3696,-0.19583506872136597,0.19583506872136597,0.0020781379883623163
6814,0.0,-0.0,0.001996007984031989
6315,-0.20348837209302323,0.20348837209302323,0.0017472335468839972
5803,-0.11240284365429495,0.11240284365429495,0.001208215867901652
6323,0.19893162393162395,-0.19893162393162395,0.0005344735435595105
6526,-0.19694033656297788,0.19694033656297788,0.0005091649694501932
7453,0.19778362654107223,-0.19778362654107223,0.0004160310636527331
3436,-0.20724054706355594,0.20724054706355594,0.00040371417036744184
7203,0.2,-0.2,0.00034524426031423694
6525,0.19801126947298636,-0.19801126947298636,0.00033178500331776384
8473,0.2040620919773682,-0.2040620919773682,0.0002895613146083331
3382,0.1990064580228515,-0.1990064580228515,0.0002485089463220014
4666,0.19950531783329223,-0.19950531783329223,0.0002474022761009831
6501,0.2009380863039401,-0.2009380863039401,0.00023441162681669958
8136,0.2,-0.2,0.0002310536044363154
6954,0.19956369982548,-0.19956369982548,0.00021819768710451548
6098,-0.11869579393544194,0.11869579393544194,0.00021722602367768573
8306,0.20042936882782297,-0.20042936882782297,0.00021463833440660274
8411,0.2004095004095004,-0.2004095004095004,0.00020470829068575114
4676,0.001208094231349932,-0.001208094231349932,0.0
8316,0.20191021967526251,-0.20191021967526251,0.0
6432,,,0.0
8267,0.20073086058834272,-0.20073086058834272,0.0
8058,0.1981325863678805,-0.1981325863678805,0.0
3064,-0.19640158330334662,0.19640158330334662,0.0
2726,0.20373134328358217,-0.20373134328358217,0.0
4587,0.1993517017828202,-0.1993517017828202,0.0
6871,0.20234192037470705,-0.20234192037470705,0.0
4063,0.2,-0.2,-0.00021482277121376292
6758,0.2004761904761903,-0.2004761904761903,-0.0002380385622471337
7011,0.20150375939849613,-0.20150375939849613,-0.0002504382669672456
6645,0.19949096462204113,-0.19949096462204113,-0.0002545824847250966
7267,-0.20060422960725083,0.20060422960725083,-0.0003022061045633295
5801,-0.19910504530708134,0.19910504530708134,-0.00033545790003353115
9501,-0.2,0.2,-0.00056085249579374
4385,0.1986713906111604,-0.1986713906111604,-0.0006647462884998845
5631,0.20081391799776177,-0.20081391799776177,-0.0007118885385944962
285A,-0.1975932611311671,0.1975932611311671,-0.0008012820512820484
6723,0.2,-0.2,-0.0008241758241758212
8766,0.20241509433962285,-0.20241509433962285,-0.0009045680687471691
6902,0.1856211836542978,-0.1856211836542978,-0.0009402914903620108
3697,0.2,-0.2,-0.0011641443538998875
7003,0.20726392251815967,-0.20726392251815967,-0.0012062726176115257
8698,-0.2,0.2,-0.0013020833333333703
3563,0.20414031052328935,-0.20414031052328935,-0.0013772523814988835
3778,0.003284072249589709,-0.003284072249589709,-0.0016393442622950616
