month,days,win_rate,mean_ret,tag
2025-02,18.0,0.3888888888888889,0.0015759710551934225,T60_V30
2025-03,20.0,0.4,-0.0007050501980872448,T60_V30
2025-04,21.0,0.5238095238095238,0.004514669485442461,T60_V30
2025-05,20.0,0.55,0.0009342473428215198,T60_V30
2025-06,21.0,0.5238095238095238,0.0016843683012898955,T60_V30
2025-07,3.0,0.3333333333333333,-0.006054034813873367,T60_V30
2025-02,18.0,0.3888888888888889,0.0015759710551934225,T90_V30
2025-03,20.0,0.4,-0.0007050501980872448,T90_V30
2025-04,21.0,0.5238095238095238,0.004514669485442461,T90_V30
2025-05,20.0,0.55,0.0009342473428215198,T90_V30
2025-06,21.0,0.5238095238095238,0.0016843683012898955,T90_V30
2025-07,3.0,0.3333333333333333,-0.006054034813873367,T90_V30
2025-05,6.0,0.5,-2.837305776544977e-05,T180_V30
2025-06,21.0,0.5238095238095238,0.0016843683012898955,T180_V30
2025-07,3.0,0.3333333333333333,-0.006054034813873367,T180_V30
