tag,days,mean,std,sharpe,cum_end,max_dd,max_consec_losses,pf
T60_V30,150,0.0014001908841768948,0.014681634276391324,1.5139555165907337,1.2140377994281677,-0.1368951414147861,7,1.3078909530177536
T90_V30,120,0.0015230365684457089,0.015955215441367618,1.515332467645758,1.1824677720731045,-0.1368951414147861,7,1.3037094838048027
T180_V30,30,0.0005679797179624998,0.010616492953831115,0.8492822008128951,1.0155287875771346,-0.03611714118302978,3,1.1613431126272902
