tag,n_windows,test_mean_avg,test_mean_std,win_rate,cum_return_end,max_drawdown
T60_V30,5,0.0014001908841768,0.0022573904865212,0.8,1.2140377994281677,-0.1368951414147861
T90_V30,4,0.0015230365684456,0.0025872395837827,0.75,1.1824677720731045,-0.1368951414147861
