tag,n_windows,test_mean_avg,test_mean_std,win_rate,cum_return_end,max_drawdown
T60_V30,5,0.00140019088417686,0.002257390486521254,0.8,1.2140377994281677,-0.1368951414147861
T90_V30,4,0.001523036568445675,0.002587239583782761,0.75,1.1824677720731045,-0.1368951414147861
T180_V30,1,0.0005679797179625,0.0,1.0,1.0155287875771346,-0.03611714118302978
