train_start,train_end,test_start,test_end,chosen_side,chosen_n,train_mean,test_mean
2024-08-23,2025-01-07,2025-01-08,2025-02-20,Top,5,0.00045686171742516656,0.002937939242058392
2024-10-08,2025-02-20,2025-02-21,2025-04-07,Top,5,0.0015155210958644678,-0.0016276408464710366
2024-11-21,2025-04-07,2025-04-08,2025-05-22,Top,5,0.001210801673927337,0.004213868160232978
2025-01-08,2025-05-22,2025-05-23,2025-07-03,Top,5,0.0018413888519401111,0.0005679797179625034
