code,prev_score_long,prev_score_short,next_return
7269.T,-0.26139635968486835,0.26139635968486835,0.10201793721973096
6098.T,-0.0560402896730213,0.0560402896730213,0.036958463599821245
2413.T,-0.19329159212880126,0.19329159212880126,0.03677289948740814
6594.T,0.0886975085722745,-0.0886975085722745,0.035367545076282925
7201.T,0.056656371159704184,-0.056656371159704184,0.030267098537184678
4568.T,-0.11063905170782551,0.11063905170782551,0.02883569096844396
9434.T,0.07838871595835636,-0.07838871595835636,0.02833334604899096
9843.T,-0.126884996191927,0.126884996191927,0.027553269654665646
5713.T,-0.01807499591525536,0.01807499591525536,0.026558265582655727
6645.T,0.19751178173087847,-0.19751178173087847,0.025727650727650708
8697.T,0.3282539682539681,-0.3282539682539681,0.023568019093078707
2802.T,-0.09558407791761322,0.09558407791761322,0.023005751437859434
8001.T,-0.22227460807802024,0.22227460807802024,0.022772772772772676
6326.T,0.2,-0.2,0.022543835235179444
6861.T,-0.08880523500029011,0.08880523500029011,0.021825396825396748
6702.T,-0.1404042574527664,0.1404042574527664,0.01857142857142846
6981.T,-0.18826487845766976,0.18826487845766976,0.018124999999999947
7974.T,-0.16968628833274596,0.16968628833274596,0.017708333333333437
4502.T,0.11723988091798924,-0.11723988091798924,0.017464277613971513
7203.T,-0.058350776773221265,0.058350776773221265,0.017168885774351716
7832.T,-0.1663373582144166,0.1663373582144166,0.01691255847427131
3402.T,-0.06178936254666238,0.06178936254666238,0.016388405408228834
7267.T,-0.1796669906599488,0.1796669906599488,0.015572519083969505
4452.T,0.14176480290109517,-0.14176480290109517,0.015087507543753764
6503.T,0.03302962519392502,-0.03302962519392502,0.014896551724137952
4543.T,-0.182761782505043,0.182761782505043,0.014000000000000012
7733.T,0.03670025492344702,-0.03670025492344702,0.013812949640287675
6971.T,-0.03933576523994809,0.03933576523994809,0.013705851344227638
9983.T,0.2465502909393183,-0.2465502909393183,0.01279447603574324
7741.T,-0.23995953464845737,0.23995953464845737,0.01264516129032267
6902.T,-0.2127569099929128,0.2127569099929128,0.012363290537327654
8058.T,0.06235237541930706,-0.06235237541930706,0.011367224502683904
9984.T,0.17567570499567187,-0.17567570499567187,0.01119854721549629
5108.T,-0.11243419739514673,0.11243419739514673,0.011124657116732717
7011.T,-0.22525252525252532,0.22525252525252532,0.010997442455243034
8113.T,0.16105320300856923,-0.16105320300856923,0.010538011066603126
8630.T,0.2100819155639571,-0.2100819155639571,0.010449320794148287
4689.T,0.1049702031948932,-0.1049702031948932,0.010436234473601091
