date,code,score,next_return
2024-08-23,1925.T,2.0440969009298726,0.004225119035809384
2024-08-26,1925.T,2.055530809205642,0.004207231018737481
2024-08-27,1925.T,2.0,-0.005071714013951877
2024-08-28,1925.T,1.066351773516091,0.0011081183113258954
2024-08-29,1925.T,1.0,-0.006198705237626695
2024-08-30,1925.T,0.5291114058355437,0.0013366671684169227
2024-09-02,1925.T,0.0,0.02002212296447724
2024-09-03,1925.T,2.0,-0.012431749197243172
2024-09-04,1925.T,1.087496301251785,0.006404486198301663
2024-09-05,1925.T,1.0209385573481096,0.003730618495532296
2024-09-06,1925.T,1.149599252464367,-0.005247089640845267
2024-09-09,1925.T,0.018622321873442926,0.0024176106786971394
2024-09-10,1925.T,1.0,-0.01995174673826828
2024-09-11,1925.T,0.0034595686004137427,0.015883689995734265
2024-09-12,1925.T,1.0,-0.005945956494558992
2024-09-13,1925.T,0.012465037867661177,0.013070449004022149
2024-09-17,1925.T,2.054170435580243,-0.0072162441023940335
2024-09-18,1925.T,1.0,0.01431724767258081
2024-09-19,1925.T,2.0269179691490447,-0.005646062986874254
2024-09-20,1925.T,1.6609040578664913,0.010045848982494785
2024-09-24,1925.T,1.0,-0.0034595593106269045
2024-09-25,1925.T,1.0,0.016272612913674506
2024-09-26,1925.T,2.0,0.012136960493686753
2024-09-27,1925.T,2.0,-0.03533192829638491
2024-09-30,1925.T,0.41222159042791295,0.0013318323566893005
2024-10-01,1925.T,0.0,0.007315500086200527
2024-10-02,1925.T,1.0,0.009683126551924787
2024-10-03,1925.T,2.0,-0.0010898001366439216
2024-10-04,1925.T,1.066157906816617,0.008946088948565075
2024-10-07,1925.T,1.0668088831892673,-0.01254330330370272
2024-10-08,1925.T,0.0,0.001971113722703426
2024-10-09,1925.T,0.0,0.009836071971829475
2024-10-10,1925.T,1.0,-0.014502130901256682
2024-10-11,1925.T,0.0704897980428898,0.002415969144267825
2024-10-15,1925.T,0.0,-0.005915823537472733
2024-10-16,1925.T,0.0,0.00793474147127071
2024-10-17,1925.T,1.2100929724950613,-0.00568552735514031
2024-10-18,1925.T,0.0959539717891611,-0.0059380500315456865
2024-10-21,1925.T,0.0,-0.0075220410616754696
2024-10-22,1925.T,0.15038119523149995,0.0008915750141409281
2024-10-23,1925.T,0.0,-0.005790627624898207
2024-10-24,1925.T,0.09679844869207321,0.007168418957967119
2024-10-25,1925.T,2.0,0.012010706434727009
2024-10-28,1925.T,2.0,-0.0017581775038741168
2024-10-29,1925.T,1.0,0.004183094323551814
2024-10-30,1925.T,3.6524762137106612,0.0021925031225933523
2024-10-31,1925.T,1.0,-0.005906764334024447
2024-11-01,1925.T,0.0,0.007262372201732731
2024-11-05,1925.T,2.0,-0.002403409050272525
2024-11-06,1925.T,1.0,0.015330715537309894
2024-11-07,1925.T,2.20382977669951,-0.008628133419392139
2024-11-08,1925.T,1.062760077406625,-0.019582258532907265
2024-11-11,1925.T,0.0,0.02685319115891254
2024-11-12,1925.T,2.5617716788555818,-0.00972552972724053
2024-11-13,1925.T,0.0,0.012439946513523217
2024-11-14,1925.T,1.0,0.00517355336910169
2024-11-15,1925.T,1.0,-0.0023590828518959936
2024-11-18,1925.T,1.0,-0.0004298802604357911
2024-11-19,1925.T,1.0,0.00451611058988468
2024-11-20,1925.T,1.0,-0.0036394375505433194
2024-11-21,1925.T,0.16724956282787917,0.007735264945319863
2024-11-22,1925.T,1.0619052509070994,-0.007036294100701652
2024-11-25,1925.T,1.3263694071311485,0.0008589439388112408
2024-11-26,1925.T,0.0,-0.0019309386685951225
2024-11-27,1925.T,0.0,0.01332767409617462
2024-11-28,1925.T,2.0,-0.001909228826640739
2024-11-29,1925.T,1.0,0.008076561621257793
2024-12-02,1925.T,2.167751976814913,0.00674674685770354
2024-12-03,1925.T,2.619390283956884,-0.010261807274255873
2024-12-04,1925.T,0.04214278527589732,0.007405844852656043
2024-12-05,1925.T,1.0911909632431458,0.0006301618002146446
2024-12-06,1925.T,1.0,-0.0060873460763998894
2024-12-09,1925.T,0.0,-0.0019007613205860327
2024-12-10,1925.T,0.0,0.009098651369488868
2024-12-11,1925.T,1.0125753012048193,0.007548736112168459
2024-12-12,1925.T,2.183590915407062,-0.012695096479244331
2024-12-13,1925.T,0.14593232541396683,0.0012647353376379151
2024-12-16,1925.T,0.0,-0.000842126674229274
2024-12-17,1925.T,0.7308517229874649,0.0004214704773673071
2024-12-18,1925.T,0.23431789523178526,-0.006529152257954528
2024-12-19,1925.T,0.0,0.007632058726391263
2024-12-20,1925.T,2.1772085104688323,0.004628616550173834
2024-12-23,1925.T,1.0,-0.0008377176313022411
2024-12-24,1925.T,1.0,0.003563258970210257
2024-12-25,1925.T,2.0,0.011695892499761745
2024-12-26,1925.T,2.0,0.008051120225973221
2024-12-27,1925.T,2.4075048042884597,-0.005119806831785727
2024-12-30,1925.T,1.1308621063205373,-0.004940226304183296
2025-01-06,1925.T,0.3675111915420517,-0.0018618337923961953
2025-01-07,1925.T,0.0,-0.0124352408302537
2025-01-08,1925.T,0.1890454006670894,-0.02077652907141289
2025-01-09,1925.T,0.07394413347973972,-0.008786954098624481
2025-01-10,1925.T,0.0,0.012972981320266697
2025-01-14,1925.T,0.24723804379848757,-0.003201709611089097
2025-01-15,1925.T,0.0,0.0019272173301295885
2025-01-16,1925.T,1.0,-0.01175465565603828
2025-01-17,1925.T,0.0,0.005622819415797848
2025-01-20,1925.T,1.0,0.012042997127352613
2025-01-21,1925.T,2.0283280319969768,-0.008712266807163527
